customer_key,customer_id,customer_name,gender,birth_date,loyalty_tier,customer_segment,province,city,registered_date
1,CUST-0001,Dewi Pratama,Male,1982-03-24,Silver,Student,Sumatera Utara,Deli Serdang,2022-03-03
2,CUST-0002,Citra Santoso,Male,1997-11-23,Regular,SMB,Jawa Barat,Bandung,2023-07-24
3,CUST-0003,Adi Wijaya,Female,1983-03-07,Regular,Student,Sumatera Utara,Deli Serdang,2024-01-06
4,CUST-0004,Maya Susanto,Female,1992-02-13,Regular,SMB,Jawa Timur,Surabaya,2024-01-11
5,CUST-0005,Wahyu Santoso,Male,1996-04-25,Regular,Family,Sumatera Utara,Medan,2022-11-30
6,CUST-0006,Maya Permana,Male,1994-11-06,Regular,Family,Jawa Barat,Depok,2025-02-14
7,CUST-0007,Hana Permana,Male,2000-06-13,Regular,SMB,DKI Jakarta,Jakarta Selatan,2023-10-07
8,CUST-0008,Gita Gunawan,Male,1983-03-08,Silver,Gadget Enthusiast,Banten,Tangerang Selatan,2024-03-28
9,CUST-0009,Maya Santoso,Male,1999-01-28,Silver,Gadget Enthusiast,Jawa Barat,Bogor,2022-05-11
10,CUST-0010,Nadia Halim,Female,1992-01-22,Silver,SMB,Bali,Badung,2023-07-01
11,CUST-0011,Lina Saputra,Male,1989-01-24,Gold,Family,Jawa Timur,Malang,2024-11-05
12,CUST-0012,Yuni Santoso,Male,1992-09-01,Silver,Student,Jawa Barat,Depok,2024-01-14
13,CUST-0013,Joko Santoso,Male,1977-12-16,Platinum,SMB,DKI Jakarta,Jakarta Selatan,2022-09-15
14,CUST-0014,Eka Gunawan,Female,1991-10-14,Gold,Professional,Bali,Denpasar,2023-10-01
15,CUST-0015,Nadia Permana,Male,1982-04-03,Silver,Professional,Banten,Tangerang Selatan,2023-03-28
16,CUST-0016,Adi Saputra,Male,1977-01-28,Silver,Family,Sumatera Utara,Medan,2024-09-21
17,CUST-0017,Gita Siregar,Male,2000-08-26,Regular,Gadget Enthusiast,Jawa Barat,Bogor,2023-12-27
18,CUST-0018,Putra Halim,Male,1976-07-24,Regular,Professional,Banten,Tangerang,2025-01-03
19,CUST-0019,Rani Wijaya,Female,1989-04-28,Regular,SMB,Banten,Tangerang,2022-07-20
20,CUST-0020,Budi Siregar,Male,1980-07-16,Gold,Student,DKI Jakarta,Jakarta Pusat,2022-12-04
21,CUST-0021,Nadia Pratama,Female,1984-07-23,Regular,Family,Banten,Tangerang Selatan,2023-03-22
22,CUST-0022,Budi Susanto,Female,1976-01-19,Regular,SMB,Sumatera Utara,Medan,2022-06-14
23,CUST-0023,Fajar Saputra,Male,1987-02-19,Silver,Gadget Enthusiast,Bali,Denpasar,2024-12-06
24,CUST-0024,Lina Lestari,Male,1983-07-05,Regular,Student,Jawa Barat,Depok,2022-01-20
25,CUST-0025,Rani Susanto,Male,1992-04-17,Gold,Student,Bali,Denpasar,2023-05-16
26,CUST-0026,Maya Lestari,Female,1994-11-17,Gold,Family,Jawa Barat,Bogor,2022-08-01
27,CUST-0027,Eka Lestari,Male,1983-05-20,Silver,Family,DKI Jakarta,Jakarta Pusat,2024-11-01
28,CUST-0028,Sari Lestari,Female,2001-05-02,Gold,Family,DKI Jakarta,Jakarta Pusat,2022-11-27
29,CUST-0029,Rani Siregar,Male,1978-02-23,Silver,Family,Sumatera Utara,Deli Serdang,2025-02-05
30,CUST-0030,Eka Halim,Female,1986-01-12,Gold,Gadget Enthusiast,Jawa Barat,Bandung,2022-11-13
31,CUST-0031,Hana Wijaya,Male,1980-12-11,Regular,Student,Jawa Barat,Bogor,2024-02-23
32,CUST-0032,Budi Gunawan,Female,1986-05-27,Regular,Professional,Jawa Barat,Bekasi,2024-03-27
33,CUST-0033,Lina Lestari,Female,1995-09-13,Gold,Family,DKI Jakarta,Jakarta Barat,2023-01-01
34,CUST-0034,Wahyu Lestari,Female,1986-12-26,Silver,SMB,DKI Jakarta,Jakarta Pusat,2022-08-25
35,CUST-0035,Nadia Susanto,Male,1997-07-01,Regular,Family,Jawa Barat,Depok,2023-10-05
36,CUST-0036,Dewi Lestari,Female,1985-07-23,Regular,Gadget Enthusiast,Bali,Badung,2022-12-23
37,CUST-0037,Yuni Susanto,Male,1984-05-07,Regular,Gadget Enthusiast,Jawa Timur,Malang,2023-03-14
38,CUST-0038,Tono Gunawan,Male,1984-09-22,Gold,Professional,Sumatera Utara,Medan,2023-09-28
39,CUST-0039,Hana Santoso,Male,1982-08-20,Regular,SMB,Jawa Barat,Bandung,2023-02-03
40,CUST-0040,Nadia Gunawan,Male,1995-12-01,Gold,Professional,Banten,Tangerang,2022-12-27
41,CUST-0041,Tono Gunawan,Male,1989-03-26,Regular,Professional,DKI Jakarta,Jakarta Selatan,2023-07-22
42,CUST-0042,Tono Gunawan,Female,1989-02-23,Regular,Family,Sumatera Utara,Medan,2025-01-11
43,CUST-0043,Citra Wijaya,Female,1997-03-23,Regular,Family,Jawa Barat,Bekasi,2025-01-16
44,CUST-0044,Rani Halim,Female,1987-10-23,Regular,Family,DKI Jakarta,Jakarta Selatan,2023-09-04
45,CUST-0045,Nadia Halim,Female,1982-05-14,Regular,Gadget Enthusiast,Bali,Denpasar,2022-12-05
46,CUST-0046,Rani Wijaya,Female,1993-10-22,Silver,Professional,Bali,Denpasar,2024-08-03
47,CUST-0047,Fajar Pratama,Female,1981-08-11,Regular,Gadget Enthusiast,Jawa Timur,Malang,2023-06-01
48,CUST-0048,Citra Gunawan,Female,1982-11-03,Silver,Professional,DKI Jakarta,Jakarta Pusat,2023-02-13
49,CUST-0049,Adi Susanto,Male,1990-11-04,Silver,Family,Jawa Barat,Bekasi,2022-12-10
50,CUST-0050,Yuni Susanto,Male,2005-05-04,Gold,SMB,Sumatera Utara,Medan,2024-02-08
51,CUST-0051,Nadia Santoso,Male,1997-05-28,Gold,SMB,DKI Jakarta,Jakarta Selatan,2022-03-26
52,CUST-0052,Maya Siregar,Male,1991-11-11,Regular,Family,Banten,Tangerang Selatan,2024-07-30
53,CUST-0053,Eka Halim,Female,1989-07-27,Gold,Student,Jawa Barat,Depok,2023-07-26
54,CUST-0054,Rani Santoso,Female,1975-08-28,Silver,Family,Banten,Tangerang Selatan,2023-06-14
55,CUST-0055,Lina Lestari,Male,1991-04-03,Silver,Professional,Bali,Badung,2024-09-02
56,CUST-0056,Sari Gunawan,Female,1982-07-23,Silver,Family,DKI Jakarta,Jakarta Pusat,2024-08-27
57,CUST-0057,Vina Siregar,Female,1986-12-15,Regular,Student,Jawa Timur,Malang,2023-01-30
58,CUST-0058,Lina Saputra,Male,1981-12-16,Platinum,Professional,Sumatera Utara,Medan,2023-08-30
59,CUST-0059,Hana Permana,Male,1997-09-05,Platinum,SMB,Jawa Barat,Depok,2023-08-22
60,CUST-0060,Eka Gunawan,Female,1990-08-15,Platinum,Family,DKI Jakarta,Jakarta Pusat,2024-09-05
61,CUST-0061,Dewi Saputra,Male,1993-11-22,Regular,SMB,Banten,Tangerang Selatan,2023-09-15
62,CUST-0062,Citra Santoso,Male,1999-09-13,Gold,Gadget Enthusiast,DKI Jakarta,Jakarta Utara,2023-09-18
63,CUST-0063,Wahyu Susanto,Male,1995-04-09,Regular,Professional,DKI Jakarta,Jakarta Pusat,2025-02-04
64,CUST-0064,Citra Wijaya,Female,1997-10-16,Regular,Family,DKI Jakarta,Jakarta Utara,2024-07-18
65,CUST-0065,Citra Santoso,Male,1988-02-18,Regular,Family,Jawa Timur,Sidoarjo,2023-08-15
66,CUST-0066,Rani Saputra,Female,2005-05-17,Regular,SMB,Banten,Tangerang Selatan,2022-03-23
67,CUST-0067,Putra Permana,Male,1977-04-22,Platinum,Family,Bali,Badung,2022-03-24
68,CUST-0068,Fajar Gunawan,Female,1980-10-14,Regular,Family,Bali,Badung,2023-10-20
69,CUST-0069,Dewi Wijaya,Female,1984-11-13,Regular,Family,Jawa Timur,Malang,2023-06-01
70,CUST-0070,Lina Saputra,Female,1988-01-07,Silver,Gadget Enthusiast,Banten,Tangerang,2024-06-24
71,CUST-0071,Budi Santoso,Male,2004-05-15,Regular,SMB,Jawa Timur,Sidoarjo,2023-05-06
72,CUST-0072,Fajar Lestari,Female,1977-04-27,Regular,Student,Bali,Denpasar,2022-11-12
73,CUST-0073,Sari Lestari,Female,2001-08-16,Silver,Gadget Enthusiast,Bali,Badung,2023-01-26
74,CUST-0074,Yuni Siregar,Male,1983-07-11,Gold,Family,Sumatera Utara,Medan,2023-09-04
75,CUST-0075,Wahyu Susanto,Male,1989-09-16,Silver,SMB,Sumatera Utara,Deli Serdang,2024-02-12
76,CUST-0076,Rani Permana,Female,1982-07-02,Platinum,Professional,Jawa Barat,Bekasi,2024-10-11
77,CUST-0077,Budi Wijaya,Male,2002-08-04,Silver,Gadget Enthusiast,Bali,Badung,2022-11-13
78,CUST-0078,Citra Gunawan,Female,1995-02-28,Platinum,Gadget Enthusiast,Jawa Timur,Malang,2025-01-13
79,CUST-0079,Budi Susanto,Female,1982-12-03,Regular,Family,DKI Jakarta,Jakarta Selatan,2022-03-01
80,CUST-0080,Budi Permana,Female,1986-07-05,Regular,SMB,DKI Jakarta,Jakarta Barat,2024-02-23
81,CUST-0081,Yuni Santoso,Male,1989-11-09,Silver,Gadget Enthusiast,Banten,Tangerang,2023-08-13
82,CUST-0082,Vina Wijaya,Female,1993-05-21,Silver,Gadget Enthusiast,DKI Jakarta,Jakarta Utara,2023-09-11
83,CUST-0083,Gita Halim,Male,1987-10-12,Platinum,Family,Banten,Tangerang,2022-02-14
84,CUST-0084,Nadia Lestari,Female,2001-05-25,Silver,Family,DKI Jakarta,Jakarta Pusat,2023-03-25
85,CUST-0085,Gita Susanto,Male,1995-02-21,Regular,Gadget Enthusiast,Jawa Timur,Sidoarjo,2022-03-10
86,CUST-0086,Wahyu Permana,Male,2004-05-11,Regular,Professional,Sumatera Utara,Medan,2025-01-09
87,CUST-0087,Maya Siregar,Male,1983-08-26,Gold,Gadget Enthusiast,Bali,Badung,2022-06-04
88,CUST-0088,Eka Santoso,Female,1977-07-01,Regular,Family,Sumatera Utara,Deli Serdang,2024-02-20
89,CUST-0089,Maya Saputra,Female,1975-10-18,Silver,Gadget Enthusiast,Sumatera Utara,Medan,2023-09-11
90,CUST-0090,Putra Saputra,Male,1984-08-04,Gold,Professional,Jawa Barat,Bandung,2024-03-06
91,CUST-0091,Rani Permana,Male,2003-07-21,Regular,Family,Sumatera Utara,Deli Serdang,2023-03-21
92,CUST-0092,Rani Gunawan,Male,1996-06-18,Regular,Family,Jawa Barat,Depok,2023-01-24
93,CUST-0093,Dewi Gunawan,Male,1976-06-08,Gold,Professional,DKI Jakarta,Jakarta Selatan,2022-05-21
94,CUST-0094,Vina Santoso,Male,1985-03-26,Gold,Professional,Bali,Denpasar,2022-09-24
95,CUST-0095,Vina Lestari,Male,1979-01-12,Regular,Student,Jawa Barat,Bandung,2022-09-17
96,CUST-0096,Putra Siregar,Female,1989-06-17,Regular,Professional,DKI Jakarta,Jakarta Pusat,2022-03-30
97,CUST-0097,Tono Lestari,Male,1990-07-14,Silver,Gadget Enthusiast,Banten,Tangerang,2022-05-31
98,CUST-0098,Citra Permana,Male,1979-05-20,Platinum,SMB,Bali,Denpasar,2023-08-27
99,CUST-0099,Rani Siregar,Male,2000-12-04,Regular,Professional,Bali,Badung,2024-04-27
100,CUST-0100,Lina Gunawan,Male,1985-07-11,Regular,Professional,Banten,Tangerang Selatan,2024-08-29
101,CUST-0101,Citra Saputra,Female,1978-12-24,Platinum,SMB,DKI Jakarta,Jakarta Pusat,2023-11-07
102,CUST-0102,Dewi Halim,Female,2002-12-02,Silver,Family,Jawa Timur,Sidoarjo,2022-08-01
103,CUST-0103,Wahyu Siregar,Female,1982-02-12,Gold,SMB,Jawa Barat,Bekasi,2023-04-09
104,CUST-0104,Putra Siregar,Female,1975-03-09,Regular,Professional,Bali,Denpasar,2024-03-31
105,CUST-0105,Citra Wijaya,Male,1998-09-07,Regular,Professional,Sumatera Utara,Medan,2024-01-28
106,CUST-0106,Joko Permana,Male,1979-03-25,Silver,Family,Bali,Denpasar,2024-06-26
107,CUST-0107,Putra Gunawan,Female,1983-04-25,Regular,Student,Bali,Badung,2023-08-04
108,CUST-0108,Wahyu Gunawan,Male,1982-07-20,Regular,Professional,Bali,Badung,2022-10-09
109,CUST-0109,Indra Lestari,Male,1990-12-14,Regular,Professional,Jawa Timur,Surabaya,2024-10-21
110,CUST-0110,Vina Permana,Male,1988-01-15,Gold,SMB,DKI Jakarta,Jakarta Utara,2024-05-29
111,CUST-0111,Wahyu Halim,Female,1978-07-01,Regular,SMB,Sumatera Utara,Deli Serdang,2024-07-31
112,CUST-0112,Maya Saputra,Male,1988-10-13,Regular,Family,Banten,Tangerang,2023-11-27
